name,Batch size,test BLEU
QAT CPU,32,37.28
QAT CPU,8,37.28
FP CUDA,8,37.15
FP CPU,8,37.15
FP CUDA,32,37.15
FP CPU,32,37.15
DQ CPU,8,37.06
DQ CPU,32,37.04
SQ CPU,32,1.43
